"Category";"Aantal per 100.000 inwoners";"Aantal"
"Wijk bij Duurstede";25.3;6
"Winterswijk";6.9;2
"Woensdrecht";9.1;2
"Woerden";13.4;7
"Wormerland";6.1;1
"Woudenberg";22.8;3
"Zaanstad";7.1;11
"Zaltbommel";21.1;6
"Zandvoort";11.8;2
"Zeewolde";17.9;4
"Zeist";26.6;17
"Zevenaar";18.4;8
"Zoetermeer";4;5
"Zoeterwoude";0;0
"Zuidplas";7;3
"Zundert";32.4;7
"Zutphen";8.4;4
"Zwartewaterland";75.5;17
"Zwijndrecht";13.4;6
"Zwolle";22;28
