"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Dinkelland";64.2;17;215.3;57
"Doesburg";36.1;4;108.3;12
"Doetinchem";15.5;9;79.3;46
"Dongen";57.2;15;183;48
"Dordrecht";50.3;60;112.3;134
"Drechterland";10.1;2;142;28
"Drimmelen";58.7;16;139.3;38
"Dronten";45.7;19;101;42
"Druten";100.4;19;269.6;51
"Duiven";35.8;9;99.5;25
"Echt-Susteren";104.4;33;177.1;56
"Edam-Volendam";49.7;18;102.2;37
"Ede";40.1;47;93.9;110
"Eemnes";10.8;1;86.5;8
"Eersel";93.2;18;201.9;39
"Eijsden-Margraten";167;43;376.7;97
"Eindhoven";43.5;102;116.4;273
"Elburg";47.5;11;220.2;51
"Emmen";12.1;13;41.1;44
"Enkhuizen";86.1;16;129.1;24
"Enschede";26.9;43;78.3;125
"Epe";42.2;14;186.8;62
"Ermelo";55.5;15;218.5;59
"Etten-Leur";79.8;35;221.1;97
"Geertruidenberg";41.8;9;88.2;19
"Geldrop-Mierlo";50.3;20;153.5;61
"Gemert-Bakel";211.6;65;410.1;126
"Gennep";82.7;14;218.6;37
"Gilze en Rijen";60.5;16;177.8;47
"Goeree-Overflakkee";85.9;43;397.6;199
"Goes";23.6;9;99.8;38
"Goirle";100.4;24;225.9;54
"Gooise Meren";34.5;20;105.1;61
"Gorinchem";37.8;14;256.7;95
"Gouda";38.1;28;152.5;112
"Grave";128.6;16;305.5;38
"Groningen";6;14;52.4;122
"Gulpen-Wittem";91.7;13;239.8;34
"Haaksbergen";49.4;12;111.1;27
"Haaren";104.4;15;201.8;29
"Haarlem";30.1;49;123.3;201
"Haarlemmermeer";31.4;49;91;142
"Halderberge";29.7;9;122.2;37
"Hardenberg";27.9;17;177.2;108
"Harderwijk";26.8;13;111.5;54
"Hardinxveld-Giessendam";5.5;1;120.3;22
"Harlingen";12.7;2;63.6;10
"Hattem";73.7;9;237.5;29
"Heemskerk";51;20;160.8;63
"Heemstede";29.4;8;279;76
"Heerde";129.1;24;403.5;75
"Heerenveen";21.8;11;95.1;48
"Heerhugowaard";38.2;22;112.9;65
"Heerlen";105.7;92;196.4;171
"Heeze-Leende";49.5;8;229.1;37
"Heiloo";37.5;9;116.8;28
"Hellendoorn";19.5;7;108.6;39
"Hellevoetsluis";27.4;11;99.6;40
"Helmond";64.9;60;194.7;180
"Hendrik-Ido-Ambacht";16;5;60.9;19
"Hengelo";18.5;15;109.7;89
"Het Hogeland";14.6;7;46;22
"Heumen";91.2;15;231;38
"Heusden";78.3;35;158.8;71
"Hillegom";22.5;5;72;16
"Hilvarenbeek";38.7;6;174;27
"Hilversum";20.9;19;58.3;53
"Hoeksche Waard";70.9;62;155.5;136
"Hof van Twente";40;14;117.1;41
"Hollands Kroon";53.7;26;88.8;43
"Hoogeveen";18;10;61;34
"Hoorn";30;22;64.2;47
"Horst aan de Maas";89.6;38;162.6;69
"Houten";33.9;17;145.6;73
"Huizen";38.8;16;94.5;39
"Hulst";25.4;7;76.2;21
"IJsselstein";82.1;28;178.8;61
"Kaag en Braassem";18.3;5;47.6;13
"Kampen";86.5;47;318.4;173
"Kapelle";7.9;1;102.4;13
"Katwijk";25.9;17;98.9;65
"Kerkrade";102.7;47;174.9;80
"Koggenland";26.4;6;92.3;21
"Krimpen aan den IJssel";20.3;6;111.7;33
"Krimpenerwaard";65.7;37;150.9;85
"Laarbeek";124.3;28;297.4;67
"Landerd";178;28;534;84
"Landgraaf";93.4;35;197.6;74
"Landsmeer";26.1;3;147.9;17
"Langedijk";53.3;15;106.5;30
"Lansingerland";46.5;29;165.1;103
"Laren";71;8;177.4;20
"Leeuwarden";25;31;37.1;46
"Leiden";23.2;29;64.7;81
"Leiderdorp";29.6;8;55.4;15
"Leidschendam-Voorburg";20.9;16;62.7;48
"Lelystad";50.9;40;82.7;65
"Leudal";142.1;51;286.9;103
"Leusden";23;7;95.4;29
"Lingewaard";49.3;23;109.4;51
"Lisse";21.8;5;52.3;12
"Lochem";17.8;6;94.9;32
"Loon op Zand";85.4;20;166.6;39
"Lopik";110.6;16;193.5;28
"Loppersum";0;0;21;2
"Losser";26.4;6;66.1;15
"Maasdriel";55.9;14;79.9;20
"Maasgouw";87.6;21;192;46
"Maassluis";39.1;13;102.4;34
"Maastricht";97.1;118;286.3;348
"Medemblik";31;14;99.8;45
"Meerssen";63.7;12;212.4;40
"Meierijstad";203.2;165;443.4;360
"Meppel";14.7;5;61.9;21
"Middelburg";26.6;13;63.5;31
"Midden-Delfland";15.5;3;56.9;11
"Midden-Drenthe";18.1;6;48.2;16
"Midden-Groningen";8.2;5;24.7;15
"Mill en Sint Hubert";82.3;9;155.4;17
"Moerdijk";24.2;9;96.9;36
"Molenlanden";36.4;16;141.1;62
"Montferland";16.7;6;69.4;25
"Montfoort";86.2;12;208.3;29
"Mook en Middelaar";51;4;216.6;17
"Neder-Betuwe";123.2;30;230.1;56
"Nederweert";146.9;25;217.4;37
"Nieuwegein";45.7;29;93;59
"Nieuwkoop";24.3;7;97.2;28
"Nijkerk";46.3;20;88;38
"Nijmegen";58;103;194.1;345
"Nissewaard";36.4;31;99.7;85
"Noardeast-Fryslân";11;5;30.9;14
"Noord-Beveland";13.5;1;54.1;4
"Noordenveld";6.4;2;28.8;9
"Noordoostpolder";16.9;8;48.7;23
"Noordwijk";27.6;12;59.7;26
"Nuenen, Gerwen en Nederwetten";51.3;12;98.4;23
"Nunspeet";97;27;312.4;87
"Oegstgeest";24.2;6;100.6;25
"Oirschot";48.1;9;181.6;34
"Oisterwijk";61;16;163.9;43
"Oldambt";2.6;1;10.5;4
"Oldebroek";80.4;19;279.1;66
"Oldenzaal";44;14;110;35
"Olst-Wijhe";49.3;9;147.9;27
"Ommen";38.9;7;166.6;30
"Oost Gelre";16.9;5;97.9;29
"Oosterhout";60.7;34;125;70
"Ooststellingwerf";3.9;1;7.9;2
"Oostzaan";82.2;8;174.7;17
"Opmeer";8.4;1;33.8;4
"Opsterland";16.8;5;53.8;16
"Oss";122.9;113;317.6;292
"Oude IJsselstreek";17.8;7;68.5;27
"Ouder-Amstel";28.5;4;135.4;19
"Oudewater";195.6;20;381.4;39
"Overbetuwe";100.2;48;173.2;83
"Papendrecht";21.8;7;105.8;34
"Peel en Maas";299.4;130;469.8;204
"Pekela";32.8;4;32.8;4
"Pijnacker-Nootdorp";30.7;17;84.9;47
"Purmerend";66.5;54;151.4;123
"Putten";12.4;3;58.1;14
"Raalte";53;20;111.4;42
"Reimerswaal";17.6;4;74.8;17
"Renkum";44.6;14;111.5;35
"Renswoude";73.4;4;165.2;9
"Reusel-De Mierden";53.4;7;106.8;14
"Rheden";66.3;29;114.3;50
"Rhenen";14.9;3;59.6;12
"Ridderkerk";62.8;29;136.4;63
"Rijssen-Holten";52.4;20;172.9;66
"Rijswijk";29.4;16;75.3;41
"Roerdalen";116.7;24;170.1;35
"Roermond";79;46;149.3;87
"Roosendaal";22;17;124.3;96
"Rotterdam";39.1;255;151.2;985
"Rozendaal";58.7;1;117.3;2
"Rucphen";26.2;6;122.4;28
"s-Gravenhage";33;180;92.8;506
"Schagen";30.1;14;107.6;50
"Scherpenzeel";20.2;2;141.7;14
"Schiedam";38.1;30;82.6;65
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";26.6;9;65;22
"Simpelveld";151.6;16;246.4;26
"Sint Anthonis";154.2;18;419.8;49
"Sint-Michielsgestel";75.3;22;188.3;55
"Sittard-Geleen";92;85;205.6;190
"Sliedrecht";23.8;6;107.1;27
"Sluis";30.2;7;56;13
"Smallingerland";10.7;6;41;23
"Soest";36.5;17;115.9;54
"Someren";108.4;21;283.9;55
"Son en Breugel";132.8;23;271.3;47
"Stadskanaal";3.2;1;6.3;2
"Staphorst";23.3;4;186.7;32
"Stede Broec";69;15;156.4;34
"Steenbergen";40.8;10;146.9;36
"Steenwijkerland";22.7;10;83.8;37
"Stein";140;35;228;57
"Stichtse Vecht";38.5;25;87.8;57
"Súdwest-Fryslân";15.6;14;51.1;46
"Terneuzen";34.9;19;115.7;63
"Terschelling";0;0;20.5;1
"Texel";22.1;3;66.3;9
"Teylingen";29.4;11;72.1;27
"Tholen";128.1;33;341.6;88
"Tiel";73.5;31;125.7;53
"Tilburg";71.9;158;207.5;456
"Tubbergen";47;10;272.6;58
"Twenterand";23.7;8;94.8;32
"Tynaarlo";20.7;7;88.6;30
"Tytsjerksteradiel";12.5;4;43.7;14
"Uden";206.5;87;479.6;202
"Uitgeest";22;3;102.6;14
"Uithoorn";40.7;12;95;28
"Urk";90.3;19;156.9;33
"Utrecht";40.5;145;138.7;496
"Utrechtse Heuvelrug";38.3;19;116.9;58
"Vaals";79.2;8;158.4;16
"Valkenburg aan de Geul";79.5;13;275.1;45
"Valkenswaard";32.1;10;259.6;81
"Veendam";3.7;1;21.9;6
"Veenendaal";40.6;27;94.7;63
"Veere";18.3;4;82.2;18
"Veldhoven";44;20;132;60
"Velsen";36.4;25;227.2;156
"Venlo";107.1;109;171.9;175
"Venray";78;34;144.5;63
"Vijfheerenlanden";35.2;20;230.6;131
"Vlaardingen";35.4;26;133.4;98
"Vlieland";0;0;0;0
"Vlissingen";18;8;92.4;41
"Voerendaal";96.2;12;176.4;22
"Voorschoten";31.2;8;85.9;22
"Voorst";36.7;9;163;40
"Vught";124.3;33;256.1;68
"Waadhoeke";13;6;108.5;50
"Waalre";22.9;4;114.6;20
"Waalwijk";47.3;23;181;88
"Waddinxveen";37.6;11;95.6;28
"Wageningen";25.2;10;58;23
"Wassenaar";26.7;7;87.7;23
"Waterland";63.1;11;114.8;20
"Weert";105.8;53;177.6;89
"Weesp";40.5;8;126.7;25
"West Betuwe";52.7;27;175.8;90
"West Maas en Waal";56.9;11;217.4;42
"Westerkwartier";20.5;13;69.4;44
"Westerveld";30.8;6;97.6;19
"Westervoort";53.4;8;93.5;14
"Westerwolde";19.4;5;19.4;5
"Westland";35.3;39;106;117
"Weststellingwerf";7.7;2;38.6;10
"Westvoorne";40.7;6;135.8;20
"Wierden";16.4;4;98.2;24
"Wijchen";85.1;35;177.5;73
"Wijdemeren";28.7;7;57.5;14
"Wijk bij Duurstede";33.5;8;66.9;16
"Winterswijk";6.9;2;45;13
"Woensdrecht";18.3;4;68.5;15
"Woerden";68.8;36;164.5;86
"Wormerland";98.2;16;177.9;29
"Woudenberg";52.4;7;142.2;19
"Zaanstad";56.8;89;121.9;191
"Zaltbommel";55.4;16;114.2;33
"Zandvoort";46.7;8;151.9;26
"Zeewolde";35.3;8;79.4;18
"Zeist";40;26;126.3;82
"Zevenaar";66.3;29;107.5;47
"Zoetermeer";26.3;33;55.9;70
"Zoeterwoude";23.2;2;81.3;7
"Zuidplas";36.5;16;118.5;52
"Zundert";68.7;15;192.5;42
"Zutphen";31.3;15;87.6;42
"Zwartewaterland";132.2;30;396.7;90
"Zwijndrecht";26.8;12;105;47
"Zwolle";32.6;42;151.4;195
