"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Veendam";3.7;1;18.3;5
"Veenendaal";33.1;22;81.2;54
"Veere";18.3;4;82.2;18
"Veldhoven";37.4;17;116.6;53
"Velsen";30.6;21;185;127
"Venlo";99.2;101;158.2;161
"Venray";78;34;133;58
"Vijfheerenlanden";35.2;20;197.1;112
"Vlaardingen";31.3;23;118.5;87
"Vlieland";0;0;0;0
"Vlissingen";18;8;83.4;37
"Voerendaal";96.2;12;168.4;21
"Voorschoten";31.2;8;85.9;22
"Voorst";32.6;8;138.5;34
"Vught";120.5;32;237.3;63
"Waadhoeke";13;6;86.8;40
"Waalre";22.9;4;114.6;20
"Waalwijk";39.1;19;160.4;78
"Waddinxveen";30.7;9;95.6;28
"Wageningen";25.2;10;42.9;17
"Wassenaar";22.9;6;76.3;20
"Waterland";63.1;11;103.3;18
"Weert";97.8;49;165.6;83
"Weesp";40.5;8;111.5;22
"West Betuwe";52.7;27;166;85
"West Maas en Waal";56.9;11;160.5;31
"Westerkwartier";18.9;12;61.5;39
"Westerveld";20.6;4;77.1;15
"Westervoort";46.8;7;73.5;11
"Westerwolde";19.4;5;19.4;5
"Westland";34.4;38;96.1;106
"Weststellingwerf";7.7;2;19.3;5
"Westvoorne";33.9;5;135.8;20
"Wierden";12.3;3;77.7;19
"Wijchen";82.7;34;155.6;64
"Wijdemeren";24.6;6;53.4;13
"Wijk bij Duurstede";33.5;8;62.7;15
"Winterswijk";6.9;2;31.2;9
"Woensdrecht";18.3;4;59.4;13
"Woerden";65;34;147.2;77
"Wormerland";85.9;14;153.4;25
"Woudenberg";52.4;7;134.7;18
"Zaanstad";52.3;82;109.8;172
"Zaltbommel";48.4;14;100.3;29
"Zandvoort";46.7;8;140.2;24
"Zeewolde";26.5;6;66.2;15
"Zeist";40;26;117;76
"Zevenaar";61.7;27;93.7;41
"Zoetermeer";24.7;31;51.1;64
"Zoeterwoude";23.2;2;69.7;6
"Zuidplas";36.5;16;102.5;45
"Zundert";68.7;15;169.6;37
"Zutphen";25;12;68.8;33
"Zwartewaterland";119;27;326.1;74
"Zwijndrecht";24.6;11;71.5;32
"Zwolle";31.8;41;132;170
